iter	RMSE
0	64115.19028
1	61360.59235
2	58862.39756
3	56560.55735
4	54248.31916
5	52481.64871
6	50954.68068
7	49220.48595
8	47604.58844
9	45689.84202
10	44478.27263
11	42908.04894
12	41581.96603
13	40598.16295
14	39204.20692
15	38060.47859
16	36919.17365
17	36089.25145
18	35489.02667
19	34557.94836
20	33771.18482
21	32927.58056
22	32397.60626
23	31991.34133
24	31508.83443
25	31074.75698
26	30681.89355
27	30403.40171
28	30040.29629
29	29464.13136
30	29189.43336
31	28921.75464
32	28598.75183
33	28391.91112
34	28167.77518
35	27997.73552
36	27460.40624
37	27209.66487
38	26963.33902
39	26784.34346
40	26372.31711
41	26215.52106
42	25985.23743
43	25565.94818
44	25314.39129
45	25175.9218
46	25058.85166
47	24866.78879
48	24776.99975
49	24558.36824
50	24449.00085
51	24329.05007
52	23976.16105
53	23911.23534
54	23896.90218
55	23853.59898
56	23756.47362
57	23582.58326
58	23532.50177
59	23448.52644
60	23272.95172
61	23170.74489
62	23154.6704
63	23055.28348
64	22927.07161
65	22820.35578
66	22742.25326
67	22642.73985
68	22573.21113
69	22557.02935
70	22400.84243
71	22390.57318
72	22249.94913
73	22142.6091
74	22045.38004
75	21954.97929
76	21899.63864
77	21832.72551
78	21722.11067
79	21680.03466
80	21605.89153
81	21495.29173
82	21427.83754
83	21294.19305
84	21098.08188
85	21020.76119
86	21013.15767
87	20983.59193
88	20913.38044
89	20694.03131
90	20629.18858
91	20572.69785
92	20512.17759
93	20439.77359
94	20398.51026
95	20366.95962
96	20321.70932
97	20266.63209
98	20134.87236
99	20080.91251
100	19978.96128
101	19915.98096
102	19881.28957
103	19787.59458
104	19730.30902
105	19680.1254
106	19571.17011
107	19458.95565
108	19417.18351
109	19410.76786
110	19378.55484
111	19343.52033
112	19273.40615
113	19124.29103
114	19119.48252
115	19080.81441
116	19054.66353
117	18939.96128
118	18802.68755
119	18759.22789
120	18753.67468
121	18673.07313
122	18621.33175
123	18560.91916
124	18512.51532
125	18429.81777
126	18391.26658
127	18337.81095
128	18319.12427
129	18300.05159
130	18254.35204
131	18166.49661
132	18098.49766
133	18031.66858
134	17989.79788
135	17967.58756
136	17878.53347
137	17813.8499
138	17757.06838
139	17650.21609
140	17605.74983
141	17582.91376
142	17510.44419
143	17444.1343
144	17378.02602
145	17326.58524
146	17293.00946
147	17241.0102
148	17195.8601
149	17171.11116
150	17152.70741
151	17098.85791
152	17035.04499
153	16970.41154
154	16933.70179
155	16891.97895
156	16856.16321
157	16806.22411
158	16773.78085
159	16699.9693
160	16614.61801
161	16540.61064
162	16475.32047
163	16445.78011
164	16418.36707
165	16387.83351
166	16356.54199
167	16319.00129
168	16228.26285
169	16184.36609
170	16144.7307
171	16069.64002
172	16008.28576
173	15982.46218
174	15947.57967
175	15875.53984
176	15831.37015
177	15805.64158
178	15762.76581
179	15726.46147
180	15704.63607
181	15647.39408
182	15604.37227
183	15572.06402
184	15548.57246
185	15508.99832
186	15435.0772
187	15419.91154
188	15376.87352
189	15356.35936
190	15297.78762
191	15287.69128
192	15252.91053
193	15169.73917
194	15148.68319
195	15120.44965
196	15105.00315
197	15091.9737
198	15039.27358
199	15011.88029
200	14983.86342
201	14930.49169
202	14893.00213
203	14843.35038
204	14798.21661
205	14762.60601
206	14734.28799
207	14693.27303
208	14675.29408
209	14653.5417
210	14593.09698
211	14565.08859
212	14547.06917
213	14507.66681
214	14468.63428
215	14439.68054
216	14419.53597
217	14393.4752
218	14363.85234
219	14329.67896
220	14302.58034
221	14280.30519
222	14251.05481
223	14214.06949
224	14179.11302
225	14145.87782
226	14099.36464
227	14053.96713
228	14020.50838
229	14008.42242
230	13975.76574
231	13931.56489
232	13890.05478
233	13842.41353
234	13808.56792
235	13787.5014
236	13770.28574
237	13740.21877
238	13685.87836
239	13656.51105
240	13646.82568
241	13612.36322
242	13596.94152
243	13549.99551
244	13534.4571
245	13502.12208
246	13467.32272
247	13443.4511
248	13434.55068
249	13405.42402
250	13382.10146
251	13363.5488
252	13317.31703
253	13261.1591
254	13240.89182
255	13207.45058
256	13186.79567
257	13135.22905
258	13106.87145
259	13069.40484
260	13033.15202
261	13025.58158
262	12995.93284
263	12955.48673
264	12930.81349
265	12914.72064
266	12894.7614
267	12845.84063
268	12813.07165
269	12786.79651
270	12743.80022
271	12720.9697
272	12692.12664
273	12686.36418
274	12666.95266
275	12638.2914
276	12621.977
277	12594.31902
278	12567.76735
279	12537.43736
280	12505.102
281	12467.57324
282	12428.76826
283	12397.3323
284	12366.1403
285	12340.21086
286	12316.56005
287	12298.72945
288	12286.57573
289	12267.94029
290	12229.36366
291	12213.25159
292	12202.4793
293	12184.88329
294	12165.50448
295	12143.12372
296	12125.47922
297	12097.62543
298	12060.06229
299	12037.12079
300	12008.29369
301	11971.70874
302	11949.60888
303	11928.4442
304	11918.21138
305	11875.40423
306	11851.48037
307	11823.14533
308	11801.21189
309	11770.54978
310	11752.71302
311	11726.29114
312	11708.86866
313	11687.37412
314	11673.46798
315	11614.30002
316	11585.73897
317	11570.30648
318	11544.07302
319	11512.14007
320	11494.20296
321	11472.63798
322	11457.52693
323	11445.83738
324	11424.50399
325	11405.95966
326	11381.76861
327	11366.00212
328	11334.13952
329	11318.89778
330	11294.5358
331	11270.03123
332	11248.48575
333	11228.79175
334	11217.10627
335	11210.6052
336	11197.56613
337	11151.90188
338	11132.91056
339	11094.45936
340	11069.73871
341	11049.75959
342	11035.04349
343	11010.90611
344	10998.32359
345	10963.93848
346	10936.26237
347	10915.95219
348	10897.74051
349	10885.32671
350	10856.74595
351	10842.02652
352	10827.39886
353	10801.15955
354	10780.4173
355	10769.43341
356	10743.15052
357	10729.85701
358	10706.51066
359	10700.21303
360	10679.10878
361	10666.19486
362	10642.47408
363	10612.35007
364	10593.24773
365	10583.13681
366	10569.80133
367	10550.30566
368	10529.22653
369	10503.58561
370	10478.64805
371	10467.46827
372	10448.12684
373	10426.64845
374	10413.18436
375	10393.69615
376	10368.37575
377	10347.97129
378	10329.51976
379	10317.50044
380	10300.79435
381	10287.21172
382	10272.05172
383	10254.51845
384	10240.21808
385	10226.51453
386	10216.22891
387	10204.69789
388	10191.87098
389	10160.63798
390	10137.90007
391	10118.69382
392	10099.3579
393	10082.89411
394	10058.21614
395	10046.26925
396	10032.65162
397	10007.36955
398	9998.080758
399	9975.098834
