iter	Passed	Remaining
0	6	2620
1	10	2045
2	13	1837
3	17	1727
4	21	1711
5	25	1667
6	28	1623
7	32	1581
8	36	1567
9	40	1560
10	43	1539
11	47	1522
12	50	1513
13	55	1529
14	59	1516
15	62	1500
16	65	1480
17	70	1488
18	74	1487
19	77	1470
20	80	1459
21	84	1450
22	89	1462
23	93	1467
24	97	1459
25	100	1448
26	104	1443
27	108	1446
28	112	1437
29	115	1429
30	120	1432
31	124	1433
32	128	1425
33	131	1415
34	135	1410
35	139	1411
36	143	1407
37	146	1397
38	150	1388
39	157	1421
40	161	1410
41	164	1404
42	168	1398
43	171	1387
44	174	1375
45	177	1365
46	180	1357
47	183	1348
48	186	1337
49	190	1332
50	193	1325
51	196	1316
52	199	1308
53	202	1299
54	203	1274
55	204	1258
56	208	1252
57	211	1244
58	214	1238
59	217	1231
60	220	1224
61	224	1221
62	224	1201
63	227	1195
64	230	1189
65	233	1183
66	236	1177
67	240	1174
68	243	1168
69	244	1152
70	247	1147
71	249	1136
72	255	1142
73	258	1139
74	261	1134
75	265	1130
76	296	1242
77	307	1270
78	311	1265
79	321	1285
80	324	1278
81	327	1270
82	330	1263
83	333	1255
84	336	1247
85	339	1240
86	340	1226
87	343	1218
88	347	1212
89	350	1206
90	353	1199
91	356	1192
92	359	1185
93	362	1178
94	365	1172
95	368	1166
96	371	1160
97	374	1154
98	377	1148
99	380	1142
100	386	1142
101	388	1136
102	391	1130
103	395	1124
104	397	1118
105	400	1111
106	404	1106
107	407	1101
108	410	1095
109	411	1083
110	414	1078
111	417	1073
112	420	1067
113	424	1064
114	425	1053
115	428	1048
116	431	1043
117	434	1039
118	437	1034
119	441	1029
120	441	1018
121	444	1013
122	447	1008
123	450	1003
124	453	998
125	456	993
126	459	988
127	462	983
128	466	979
129	469	974
130	472	970
131	475	965
132	478	960
133	482	957
134	485	953
135	488	948
136	491	943
137	494	939
138	498	935
139	501	930
140	504	925
141	507	921
142	510	917
143	513	913
144	516	908
145	519	903
146	522	898
147	525	894
148	528	891
149	532	886
150	535	882
151	539	879
152	542	875
153	545	871
154	549	868
155	552	864
156	555	859
157	558	855
158	561	851
159	564	847
160	567	842
161	570	838
162	573	834
163	577	830
164	579	825
165	582	821
166	585	817
167	588	813
168	591	809
169	594	804
170	597	800
171	600	796
172	604	792
173	607	788
174	610	784
175	613	780
176	616	776
177	619	772
178	622	768
179	625	764
180	628	761
181	632	757
182	635	753
183	638	749
184	641	745
185	645	742
186	649	739
187	653	736
188	656	732
189	659	728
190	662	724
191	666	721
192	669	718
193	672	714
194	675	710
195	680	708
196	683	704
197	686	700
198	689	696
199	693	693
200	696	689
201	699	685
202	702	681
203	705	678
204	708	674
205	711	670
206	714	666
207	717	662
208	721	658
209	724	655
210	727	651
211	730	647
212	733	643
213	736	640
214	739	636
215	742	632
216	747	630
217	750	626
218	753	623
219	757	619
220	760	616
221	763	612
222	766	608
223	769	604
224	772	601
225	775	597
226	781	595
227	784	591
228	787	587
229	790	584
230	793	580
231	796	576
232	799	572
233	802	569
234	805	565
235	808	561
236	811	557
237	814	554
238	817	550
239	820	547
240	824	544
241	827	540
242	830	536
243	834	533
244	837	529
245	840	526
246	843	522
247	846	519
248	850	515
249	853	512
250	856	508
251	860	505
252	863	501
253	866	497
254	869	494
255	872	490
256	875	486
257	882	485
258	885	481
259	888	478
260	891	474
261	894	471
262	897	467
263	900	463
264	903	460
265	906	456
266	909	453
267	912	449
268	915	445
269	918	442
270	921	438
271	924	435
272	927	431
273	930	428
274	934	424
275	937	421
276	940	417
277	943	414
278	947	410
279	954	408
280	957	405
281	961	402
282	964	398
283	967	395
284	972	392
285	977	389
286	981	386
287	985	383
288	988	379
289	991	376
290	994	372
291	998	369
292	1001	365
293	1004	362
294	1007	358
295	1013	355
296	1016	352
297	1019	349
298	1023	345
299	1026	342
300	1029	338
301	1032	334
302	1035	331
303	1038	327
304	1041	324
305	1044	320
306	1047	317
307	1050	313
308	1053	310
309	1056	306
310	1060	303
311	1063	299
312	1066	296
313	1069	292
314	1072	289
315	1075	285
316	1078	282
317	1081	278
318	1084	275
319	1087	271
320	1090	268
321	1093	264
322	1096	261
323	1100	258
324	1103	254
325	1106	251
326	1110	247
327	1112	244
328	1116	240
329	1119	237
330	1122	233
331	1125	230
332	1128	227
333	1131	223
334	1134	220
335	1137	216
336	1140	213
337	1143	209
338	1146	206
339	1149	202
340	1153	199
341	1156	196
342	1159	192
343	1162	189
344	1165	185
345	1168	182
346	1171	178
347	1174	175
348	1177	172
349	1180	168
350	1183	165
351	1186	161
352	1190	158
353	1193	155
354	1196	151
355	1199	148
356	1202	144
357	1205	141
358	1208	138
359	1211	134
360	1213	131
361	1217	127
362	1220	124
363	1224	121
364	1227	117
365	1230	114
366	1233	110
367	1236	107
368	1240	104
369	1243	100
370	1246	97
371	1250	94
372	1260	91
373	1264	87
374	1267	84
375	1270	81
376	1274	77
377	1277	74
378	1280	70
379	1283	67
380	1286	64
381	1290	60
382	1294	57
383	1297	54
384	1300	50
385	1303	47
386	1306	43
387	1309	40
388	1312	37
389	1315	33
390	1318	30
391	1322	26
392	1324	23
393	1328	20
394	1331	16
395	1334	13
396	1337	10
397	1341	6
398	1344	3
399	1348	0
